ingestion_date,source_file_name,date,time,team1,team2,group,ground,round
2026-04-25,baseWC_20260425.json,2026-06-14,12:00 UTC-5,Germany,Curaçao,Group E,Houston,Matchday 4
2026-04-25,baseWC_20260425.json,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,Group E,Philadelphia,Matchday 4
2026-04-25,baseWC_20260425.json,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,Group E,Toronto,Matchday 10
2026-04-25,baseWC_20260425.json,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Group E,Kansas City,Matchday 10
2026-04-25,baseWC_20260425.json,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,Group E,Philadelphia,Matchday 15
2026-04-25,baseWC_20260425.json,2026-06-25,16:00 UTC-4,Ecuador,Germany,Group E,New York/New Jersey (East Rutherford),Matchday 15
2026-04-25,baseWC_20260425.json,2026-06-14,15:00 UTC-5,Netherlands,Japan,Group F,Dallas (Arlington),Matchday 4
2026-04-25,baseWC_20260425.json,2026-06-14,20:00 UTC-6,Sweden,Tunisia,Group F,Monterrey (Guadalupe),Matchday 4
2026-04-25,baseWC_20260425.json,2026-06-20,12:00 UTC-5,Netherlands,Sweden,Group F,Houston,Matchday 10
2026-04-25,baseWC_20260425.json,2026-06-20,22:00 UTC-6,Tunisia,Japan,Group F,Monterrey (Guadalupe),Matchday 10
2026-04-25,baseWC_20260425.json,2026-06-25,18:00 UTC-5,Japan,Sweden,Group F,Dallas (Arlington),Matchday 15
2026-04-25,baseWC_20260425.json,2026-06-25,18:00 UTC-5,Tunisia,Netherlands,Group F,Kansas City,Matchday 15
2026-04-25,baseWC_20260425.json,2026-06-15,12:00 UTC-7,Belgium,Egypt,Group G,Seattle,Matchday 5
2026-04-25,baseWC_20260425.json,2026-06-15,18:00 UTC-7,Iran,New Zealand,Group G,Los Angeles (Inglewood),Matchday 5
2026-04-25,baseWC_20260425.json,2026-06-21,12:00 UTC-7,Belgium,Iran,Group G,Los Angeles (Inglewood),Matchday 11
2026-04-25,baseWC_20260425.json,2026-06-21,18:00 UTC-7,New Zealand,Egypt,Group G,Vancouver,Matchday 11
2026-04-25,baseWC_20260425.json,2026-06-26,20:00 UTC-7,Egypt,Iran,Group G,Seattle,Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-26,20:00 UTC-7,New Zealand,Belgium,Group G,Vancouver,Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-15,12:00 UTC-4,Spain,Cape Verde,Group H,Atlanta,Matchday 5
2026-04-25,baseWC_20260425.json,2026-06-15,18:00 UTC-4,Saudi Arabia,Uruguay,Group H,Miami (Miami Gardens),Matchday 5
2026-04-25,baseWC_20260425.json,2026-06-21,12:00 UTC-4,Spain,Saudi Arabia,Group H,Atlanta,Matchday 11
2026-04-25,baseWC_20260425.json,2026-06-21,18:00 UTC-4,Uruguay,Cape Verde,Group H,Miami (Miami Gardens),Matchday 11
2026-04-25,baseWC_20260425.json,2026-06-26,19:00 UTC-5,Cape Verde,Saudi Arabia,Group H,Houston,Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-26,18:00 UTC-6,Uruguay,Spain,Group H,Guadalajara (Zapopan),Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-16,15:00 UTC-4,France,Senegal,Group I,New York/New Jersey (East Rutherford),Matchday 6
2026-04-25,baseWC_20260425.json,2026-06-16,18:00 UTC-4,Iraq,Norway,Group I,Boston (Foxborough),Matchday 6
2026-04-25,baseWC_20260425.json,2026-06-22,17:00 UTC-4,France,Iraq,Group I,Philadelphia,Matchday 12
2026-04-25,baseWC_20260425.json,2026-06-22,20:00 UTC-4,Norway,Senegal,Group I,New York/New Jersey (East Rutherford),Matchday 12
2026-04-25,baseWC_20260425.json,2026-06-26,15:00 UTC-4,Norway,France,Group I,Boston (Foxborough),Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-26,15:00 UTC-4,Senegal,Iraq,Group I,Toronto,Matchday 16
2026-04-25,baseWC_20260425.json,2026-06-16,20:00 UTC-5,Argentina,Algeria,Group J,Kansas City,Matchday 6
2026-04-25,baseWC_20260425.json,2026-06-16,21:00 UTC-7,Austria,Jordan,Group J,San Francisco Bay Area (Santa Clara),Matchday 6
2026-04-25,baseWC_20260425.json,2026-06-22,12:00 UTC-5,Argentina,Austria,Group J,Dallas (Arlington),Matchday 12
2026-04-25,baseWC_20260425.json,2026-06-22,20:00 UTC-7,Jordan,Algeria,Group J,San Francisco Bay Area (Santa Clara),Matchday 12
2026-04-25,baseWC_20260425.json,2026-06-27,21:00 UTC-5,Algeria,Austria,Group J,Kansas City,Matchday 17
2026-04-25,baseWC_20260425.json,2026-06-27,21:00 UTC-5,Jordan,Argentina,Group J,Dallas (Arlington),Matchday 17
2026-04-25,baseWC_20260425.json,2026-06-17,12:00 UTC-5,Portugal,DR Congo,Group K,Houston,Matchday 7
2026-04-25,baseWC_20260425.json,2026-06-17,20:00 UTC-6,Uzbekistan,Colombia,Group K,Mexico City,Matchday 7
2026-04-25,baseWC_20260425.json,2026-06-23,12:00 UTC-5,Portugal,Uzbekistan,Group K,Houston,Matchday 13
2026-04-25,baseWC_20260425.json,2026-06-23,20:00 UTC-6,Colombia,DR Congo,Group K,Guadalajara (Zapopan),Matchday 13
2026-04-25,baseWC_20260425.json,2026-06-27,19:30 UTC-4,Colombia,Portugal,Group K,Miami (Miami Gardens),Matchday 17
